page.iht.application.exemptions.partner.dateOfBirth.question.title	What is the spouse’s or civil partner’s date of birth?	Beth yw dyddiad geni'r priod neu'r partner sifil?	English not updated. Welsh updated.
page.iht.application.exemptions.assetLeftToCharity.screenreader.ident	Charity {0}.	Elusen {0}.	English not updated. Welsh updated.
page.iht.application.exemptions.charityName.sectionTitle	What is the charity’s name?	Beth yw enw'r elusen?	English not updated. Welsh updated.
page.iht.application.exemptions.charityOverviewTable.header	Charities	Elusennau	English not updated. Welsh updated.
page.iht.application.exemptions.partner.name.browserTitle	Partner’s name	Enw'r partner	English not updated. Welsh updated.
page.iht.application.exemptions.guidance.content2.linkText	you can return to the estate overview page	gallwch fynd yn ôl i'r dudalen drosolwg ar gyfer yr ystâd	English not updated. Welsh updated.
page.iht.application.exemptions.qualifyingBodyOverview.browserTitle	Assets left to other bodies	Asedion a adawyd i gyrff eraill	English not updated. Welsh updated.
page.iht.application.charity.add.registerednumber.helptext	How to find out the charity number	Sut i gael gwybod rhif yr elusen	English not updated. Welsh updated.
page.iht.application.exemptions.assetLeftToCharity.browserTitle	Any assets left to a charity	Unrhyw asedion a adawyd i elusen	English not updated. Welsh updated.
page.iht.application.exemptions.guidance.link	Continue to estate exemptions	Ymlaen i eithriadau'r ystâd	English not updated. Welsh updated.
page.iht.application.exemptions.assetLeftToPartner.description	These are all of the assets that are being left to the deceased’s spouse or civil partner.	Dyma'r holl asedion sy'n cael eu gadael i briod neu bartner sifil yr ymadawedig.	English not updated. Welsh updated.
page.iht.application.exemptions.overview.charity.detailsOverview.name.screenreader.link.value	Change the charity name	Newidiwch enw'r elusen	English not updated. Welsh updated.
iht.estateReport.exemptions.guidance.debtsSubtracted	If you claim any exemptions, any debts that are owed from the estate will also be taken off the estate value.	Os ydych yn gwneud cais am unrhyw eithriadau, caiff unrhyw ddyled sydd ar yr ystâd ei didynnu o werth yr ystâd hefyd.	English not updated. Welsh updated.
page.iht.application.exemptions.overview.qualifyingBody.screenReader.noValue	You have not given a value for assets left to other qualifying bodies	Nid ydych wedi rhoi swm ar gyfer asedion a adawyd i gyrff cymwys eraill	English not updated. Welsh updated.
page.iht.application.exemptions.overview.qualifyingBody.detailsOverview.value.title	Total value of assets received by the qualifying body	Cyfanswm yr asedion a gafwyd gan y corff cymwys	English not updated. Welsh updated.
page.iht.application.exemptions.partner.question1	Were any assets left to the deceased’s spouse or civil partner?	A adawyd unrhyw asedion i briod neu bartner sifil yr ymadawedig?	English not updated. Welsh updated.
page.iht.application.exemptions.qualifyingBodyOverview.noQualifyingBodies.text	You have not added any qualifying bodies to this estate.	Nid ydych wedi ychwanegu unrhyw gyrff cymwys i'r ystâd hon.	English not updated. Welsh updated.
page.iht.application.exemptions.overview.qualifyingBody.screenReader.value	The value of assets left to other qualifying bodies is £{0}	Swm yr asedion a adawyd i gyrff cymwys eraill yw £{0}	English not updated. Welsh updated.
page.iht.application.exemptions.charityNumber.browserTitle	Charity number	Rhif yr elusen	English not updated. Welsh updated.
iht.estateReport.assets.qualifyingBodyAddAnother	Add another qualifying body	Ychwanegwch gorff cymwys arall	English not updated. Welsh updated.
page.iht.application.exemptions.overview.partner.screenReader.link.noValue	Give an answer for assets left to a spouse or civil partner	Rhowch ateb ar gyfer asedion a adawyd i briod neu bartner sifil	English not updated. Welsh updated.
iht.estateReport.exemptions.charities.noNameAdded	No name added	Dim enw wedi'i ychwanegu	English not updated. Welsh updated.
page.iht.application.exemptions.overview.partner.dob.screenreader.link.value	Change the date of birth of the spouse or civil partner	Newidiwch ddyddiad geni'r priod neu'r partner sifil	English not updated. Welsh updated.
page.iht.application.exemptions.overview.partner.dob.screenreader.link.noValue	Give the date of birth of the spouse or civil partner	Rhowch ddyddiad geni'r priod neu'r partner sifil	English not updated. Welsh updated.
page.iht.application.exemptions.guidance.increasing.threshold.p1	You could bring the estate value below the threshold by claiming any estate exemptions.	Gallech leihau gwerth yr ystâd yn is na'r trothwy drwy wneud cais am unrhyw eithriadau'r ystâd.	English not updated. Welsh updated.
pdf.exemption.table.text	Exemption	Eithriad	English not updated. Welsh updated.
