Key	English	Welsh	Comments
page.tcs.workandhours.changenumberofjobs.partner.dateofchange	When did your partner’s number of jobs change?		No Welsh translation found
page.tcs.children.education.dateofbirth.futureDate	Enter a date of birth that is today or in the past		No Welsh translation found
error.valid.currency	Enter a valid amount		No Welsh translation found
page.tcs.workandhours.howmanyhours.previous.p7	Zero-hour contract		No Welsh translation found
page.tcs.workandhours.startajobhadotherpreviousjobs.pageTitle	Not including your new job, have you had any other jobs since {0}?		No Welsh translation found
page.tcs.workandhours.changejobs.whatdoyouneedtodo.header	What do you need to do?		No Welsh translation found
page.tcs.workandhours.previousworkenddate.partner.dateBeforeStartDate	Enter a date that is after the date they started		No Welsh translation found
select.your.address.or.none.of.these	Select your address or none of these		No Welsh translation found
page.tcs.children.add-a-child.does-child-study-approved-course.p1	Approved courses include:		No Welsh translation found
page.tcs.childcare.short.term.calculation.summary.table4-edit	how much you will pay {0} between {1} and {2}		No Welsh translation found
page.renewals.renewals_homepage.single.h1	Report changes to your personal circumstances between <span class="no-wrap">{0}</span> and <span class="no-wrap">{1}</span>		No Welsh translation found
page.tcs.workandhours.earnings_calculator.service_title	How much do you get paid?		No Welsh translation found
page.tcs.children.add-a-child.confirm-end-education-answers-header	Confirm your answers		No Welsh translation found
page.tcs.workandhours.howmanyhours.previous.partner.p1	Term-time only workers		No Welsh translation found
page.tcs.household_breakdown_acknowledgement.p2	If you want to make a new claim with your partner you can:		No Welsh translation found
page.tcs.workandhours.deductions.paternity.enterAmount	Enter Amount		No Welsh translation found
page.tcs.start.beforeInfo.p1	 You will need a Government Gateway account to sign in to the Tax Credits Service. You can <a href="https://online.hmrc.gov.uk/registration">register for a Government Gateway account</a> if you do not have one.		No Welsh translation found
dashboard.viewchangedetails.you.change_child_details	Change {0}’s details		No Welsh translation found
page.tcs.workandhours.employed-summary.total_number_of_hours	Hours worked a week in all jobs		No Welsh translation found
page.tcs.workandhours.startajobselfemployed.jobWithinTheUk-empty	Select yes if the job was or is based in the United Kingdom		No Welsh translation found
page.tcs.children.changeachildwherelive.changewherelive.error-empty	Select where {0} lives		No Welsh translation found
page.tcs.renewals.changes_other.overseas.h1	Live overseas or went abroad for more than 8 weeks		No Welsh translation found
page.renewals.renewals_homepage.children.heading	Children		No Welsh translation found
page.tcs.children.change-childs-details.name-change.link	Change name		No Welsh translation found
page.tcs.childcare.changechildcare.childcare-summary.ever-pay-different	Do you ever pay {0} something different than {1}?		No Welsh translation found
page.tcs.addchildcare.when-did-or-will-childcare-end.title	When did or will you stop paying {0}?		No Welsh translation found
pages.tcs.workandhours.deductions.totalAmount.toMuch	The total amount entered for all deductions is too high		No Welsh translation found
page.tcs.workandhours.previous-employment-summary.previousNumberOfHours	How many hours a week did you normally work at {0}?		No Welsh translation found
firstName.fieldLabel	first name		No Welsh translation found
page.tcs.childcare.remove.provider.children-names-and-dobs.error-empty	Enter the names and dates of birth of the children who were cared for by this provider		No Welsh translation found
page.tcs.workandhours.previous-employment-summary.previousCalculatedEarnings	How much did you get paid at {0}?		No Welsh translation found
page.tcs.addchildcare.provider.address.line2.error-length	Address line 2 must only include letters a to z, numbers 0 to 9, spaces, commas, full stops, hyphens, apostrophes, ampersands and round brackets		No Welsh translation found
page.tcs.workandhours.endedAJob.summary.change-this	Edit these end of job details		No Welsh translation found
