page.iht.application.debts.mortgage.inputText.value	Value of mortgage	Swm y morgais
page.iht.application.debts.mortgageValue.browserTitle	Any mortgage on property	Unrhyw forgais ar yr eiddo
page.iht.application.debts.mortgageValue.title	Did {0} have a mortgage on this property?	A oedd gan {0} forgais ar yr eiddo hwn?
site.link.return.mortgage.overview	Add a mortgage value for a property, building or land	Ychwanegwch swm morgais ar gyfer eiddo, adeilad neu dir
iht.estateReport.debts.mortgage.valueOfDeceasedsShare	Value of deceased’s share of mortgage	Swm cyfran yr ymadawedig o'r morgais
iht.estateReport.debts.mortgages	Mortgages	Morgeisi
page.iht.application.debts.mortgages.description	If {0} had a loan secured against a property they owned, include that value here.	Os oedd gan {0} fenthyciad a warantwyd yn erbyn eiddo yr oedd yn berchen arno, dylech gynnwys y swm hwnnw fan hyn.
page.iht.application.debts.mortgages.description.p1	You should use the outstanding balance remaining to pay off a mortgage as the value. Some providers might describe this differently so check with them if you are unsure of how much is outstanding on a mortgage.	Dylech ddefnyddio'r gweddill sydd heb ei dalu ar y morgais fel y swm. Mae'n bosibl y bydd rhai darparwyr yn disgrifio hyn yn wahanol, felly gwiriwch gyda nhw os nad ydych yn sicr faint sy'n weddill ar y morgais.
page.iht.application.debts.mortgages.description.p3	If {0} had a mortgage protection policy which paid out after they died, you should include that value as an asset under insurance policies owned.	Os oedd gan {0} bolisi diogelu morgais a wnaeth dalu allan ar ôl iddo farw, dylech gynnwys y swm hwnnw fel ased o dan bolisïau yswiriant yr oedd yn berchen arnynt.
page.iht.application.debts.mortgages.noProperties.description	You have not added any properties, buildings or land as an asset.	Nid ydych wedi ychwanegu unrhyw eiddo, adeiladau na thir fel ased.
page.iht.application.debts.mortgages.noProperties.warning.text	If you have not added a property, building or land as an asset, or the one that you want to add a mortgage against, then you will need to add it as an asset before you can give the mortgage value.	Os nad ydych wedi ychwanegu eiddo, adeilad na thir fel ased, neu'r un yr ydych am ychwanegu morgais yn ei erbyn, bydd angen i chi ei ychwanegu fel ased cyn y gallwch roi swm y morgais.
page.iht.application.assets.property.address.property.change	Change details for property {0}	Newidiwch fanylion ar gyfer eiddo {0}
page.iht.application.assets.deceased-permanent-home.table.header	Properties	Eiddo
iht.estateReport.debts.owedOnJointAssets	Debts owed on any jointly owned assets	Dyledion sy'n ddyledus ar unrhyw asedion a oedd yn cael eu perchen ar y cyd
iht.estateReport.debts.owedOnJointAssets.value	Value of any debts owed on jointly owned assets	Swm unrhyw ddyledion sy'n ddyledus ar asedion a oedd yn cael eu perchen ar y cyd
page.iht.application.debts.jointlyOwned.browserTitle	Joint debts	Dyledion ar y cyd
page.iht.application.debts.jointlyOwned.description.p1	This is if {0} jointly owned any assets and there are debts owed on them. This does not include the mortgage on any jointly owned properties.	Hynny yw, os oedd {0} yn berchen ar unrhyw asedion ar y cyd ac mae dyledion yn ddyledus arnynt. Nid yw hyn yn cynnwys y morgais ar unrhyw eiddo a oedd yn cael ei berchen ar y cyd.
page.iht.application.debts.jointlyOwned.description.p2	You should only include {0}’s share of any debts owed on jointly owned assets.	Dylech ond gynnwys cyfran {0} o unrhyw ddyledion sy'n ddyledus ar asedion a oedd yn cael eu perchen ar y cyd.
page.iht.application.debts.jointlyOwned.isOwned	Are there any debts being paid out of the estate that are owed on any jointly owned assets?	A oes unrhyw ddyledion yn cael eu talu allan o'r ystâd sy'n ddyledus ar unrhyw asedion a oedd yn cael eu perchen ar y cyd?
page.iht.application.debts.overview.mortgages.screenReader.value	The value of mortgages is £{0}	£{0} yw swm y morgeisi
page.iht.application.debts.overview.mortgages.screenReader.link.moreDetail	Give more details about mortgages	Rhowch ragor o fanylion ynghylch morgeisi
page.iht.application.debts.overview.mortgages.screenReader.link.noValue	Give a value for mortgages	Rhowch swm ar gyfer morgeisi
page.iht.application.debts.overview.mortgages.screenReader.link.value	Change the value of mortgages	Newidiwch swm y morgeisi
page.iht.application.debts.overview.mortgages.screenReader.noValue	You have not given a value for mortgages	Nid ydych wedi rhoi swm ar gyfer morgeisi
